Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Assistant Restaurant Manager,Dubai,SOFITEL,None,To undertake any reasonable tasks as assigned by the Restaurant Manager and the Food & Beverage Manager. What is in it for you: What you will be doing:,None,None,2021-03-16
Project Manager - Temp (One year contract - Extendable),Dubai,Marsh and McLennan,None,"Manages a small project, from start to finish, or one phase of a large project, so that it is completed on time and within budget. 8 - 14 years of experience.",None,None,2021-03-19
Content Writer,Dubai,"Global Pulse Confederation (Dubai, UAE)","1,100",Ability to work with content editors and managers in submitting revisions or changes in a timely manner. About *the Global Pulse Confederation (GPC).,None,(),2021-03-17
Brand Marketing Manager,Dubai,Anghami,None,It is as social as it is personal. Develop and manage a year-long calendar of brand touchpoints — bringing together initiatives for our various audiences …,None,None,2021-03-20
Security Services Manager (Gulf),Dubai,IBM,None,"Our experts and software capabilities help organizations develop applications once and deploy them anywhere, integrate security across the breadth of their IT…",None,None,2021-03-22
Mechanical Engineer,Dubai,Abdullah A. AlMoosa Enterprises - Arenco Group,None,The candidate shall have working knowledge/ experience of project documentation and communication with the project manager/ consultants/ contractors.,None,None,2021-03-21
Management Accountant,Dubai,Emerson,None,"Regional legal IT, audit & compliance teams. Regional legal IT, audit & compliance teams. Investigating and resolving driving factors with the finance managers.",None,None,2021-03-18
Engineering Manager - W Residences,Dubai,"Marriott International, Inc",None,"W guests soak it in and live each day with a mantra: Our guests have a lust for a life less ordinary that drives them to demand more, experience it all, and hit…",None,None,2021-02-24
"Associate Manager, Customer Service and Supply Chain",Dubai,BIC,None,"Committing and delivering, acting with autonomy as it was their own company while fully respecting corporate rules and procedures, and applying the appropriate…",None,None,2021-03-20
Assistant Manager Applications,Dubai,Maxit Advertising LLC,None,"Company: Maxit Advertising LLCEmployment Type: Full TimeJob Type: Hospitality, Hotel,…",None,None,2021-02-20
Executive Assistant to the Chairman,Dubai,M I A Exhibition Organizers,"2,500-5,000","Dealing with the CEO’s incoming email, faxes and post delegating work to managers as relevant to each staff members TOR; Social distancing guidelines in place.",None,None,2021-03-11
Customer Experience Agent,Dubai,Kitopi,None,"So, what does it really mean to work at Kitopi? We want to empower you to be the best version of yourself every single day - we wouldn’t have it any other way.",None,None,2021-02-20
IT Officer,Dubai,RTC-1 Employment Services,None,"Bachelor’s degree in IT or computer related courses • At least 3 years relevant experience in the FMCG, and manufacturing industry is required • Must have any…",None,None,2021-02-20
IT Project Manager,Dubai,RTC-1 Employment Services,None,IT Project Manager Employment Type: Coordinate all IT infrastructure related activities within all business units (ERP) • Be the in-house POC for installation…,None,None,2021-02-20
Customer Relations Manager,Dubai,Al-Futtaim,None,Working with the check-out manager and store team to ensure the check-outs are appropriately staffed at all times of the day in order to make it easy and…,None,None,2021-02-20
Advertising Client Servicing Manager,Dubai,MOTAD (An Ambition Group Company),"4,000-6,000",MOTAD is looking for hiring ACCOUNT MANAGER - CLIENT SERVICING. Great presentation skills to bring life to the work done by the creative team and present it to…,None,3,2021-02-22
Finance Manager,Dubai,Maxus Coral,None,Work with IT Vendors and 3rd party consultants to optimize operations and improve processes. Role consists of managing all finance related responsibilities for…,None,None,2021-02-20
Actuarial Apprentice - Life (12 month Contract),Dubai,Munich RE,None,It closely cooperates with the Singapore office. Liaise with client managers to assist on technical matters with existing and prospective clients.,None,None,2021-03-22
Adjustor,Dubai,Otis,None,Adjusts and lubricates the Safety Action Mechanism and tests it according to the defined procedures. Identifies the training and development requirements for…,None,None,2021-03-02
