Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Cloud Operation Specialist,Abu Dhabi,The Rekruiters,"30,000","Technical knowledge of infrastructure components such as Network, Storage, Linux/Windows, Application knowledge of Java, .Net, and IT security.",None,1,3/29/21
Senior IT Engineer,Abu Dhabi,Eco View Smart System,"3,000",Microsoft Office Specialist (MOS) Certification. Microsoft Certified IT Professional (MCITP) certification in the desktop area. At least one of the following:,Senior,None,3/18/21
Trust & Safety Specialist (Disinformation),Abu Dhabi,Wikimedia Foundation,None,"Additionally, we'd love it if you have: The successful Trust & Safety Disinformation Specialist will collaborate respectfully with others, encourage collegialâ€_",None,None,3/14/21
Application Data Analyst & Insight Specialist,Abu Dhabi,Avrioc Technologies,None,"Application Data Analyst & Insight Specialist As an Application Analyst, your objective will be to effectively analyze data and present it for further decisionâ€_",None,None,2/28/21
Consultant / Specialist Neurologist,Abu Dhabi,Emirates Hospital Group,None,We are looking for a Consultant / Specialist Neurologist to join our Neurology Team. Provide patient focused Neurology services and ensure optimal clinical careâ€_,None,None,3/10/21
ERP Specialist,Abu Dhabi,OilExec,None,Analyzing existing infrastructure and performing IT system enhancements. Installing ERP software and ensuring seamless integration with IT systems.,None,None,2/28/21
Water Senior Specialist,Abu Dhabi,"SAA Group,LLC",None,"We are looking to Hire for Water Senior Specialist / Grade: Assist in enabling the water sector to address the challenges it faces, helping to build trust andâ€_",Senior,None,3/16/21
Ward attender,Al-Ayn,NMC Specialty ALN,None,"Patients and their families, Physicians, Specialists, Nurses and Ancillary personnel. 3.28 Challenge bias, prejudice and intolerance if appropriate or brings itâ€_",None,None,3/18/21
Offshore Operator,Abu Dhabi,VHR Recruitment,None,"Whether one permanent vacancy or a team of contract specialists, VHR strives to deliver the best possible staffing solutions.",None,None,3/22/21
Senior ICT Technical Security Services Specialist â€“ ENEC,Abu Dhabi,Nawah Energy Company,None,To ensure compliance with the IT Security architecture. Developing and monitoring compliance with IT practices and procedures ISO 27001 Implementation.,Senior,None,3/4/21
Enterprise Architecture Specialist,Abu Dhabi,The Rekruiters,"40,000",IT portfolio rationalization experience with the ability to form architecture solutions and projects that are based on business operating model and IT roadmapâ€_,Architect,None,3/29/21
