Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Medical Representative,Dubai,Metropolitan Medical Marketing,None,Proven aptitude for highly technical data/materials and presenting to KOL’s. Timing and follow up of orders. Value proposition for orders with decision makers.,None,None,2/16/21
Field Support Engineer,Dubai,Intertec Systems,None,To support daily technical support activities for IT equipment and application management. Provide the requested data to the line manager for OPEX and CAPEX…,None,None,3/10/21
Manager - Integration Services,Dubai,Majid Al Futtaim,None,"Excellent Communication Skills, Must be well versed in communicating to both technical and non-technical persons. Java, Servlet, JSP, JSF, EJB, JMS, JCA, JAXP.",None,None,3/12/21
Technical Account Manager,Dubai,Snapchat,None,We’re looking for a Technical Account Manager to join our Emerging International Sales Team! We believe that reinventing the camera represents our greatest…,None,None,3/10/21
Operations Manager,Dubai,Willis Towers Watson,None,"Develop strong working relationships with client facing and market facing managers and together ensure high level performance and fast, effective issue…",None,None,2/16/21
Executive Assistant,Dubai,Mineral Circles Bearings,None,"Make travel and accommodation arrangements for MD, Senior managers, clients, and guests. We are a cluster of diversified teams who share the same goal that…",None,None,2/16/21
Medical Representative,Dubai,Bionics Medical Equipments Trading LLC,None,"➢ Submits daily & monthly reports to direct manager as per company’s reporting system. ➢ Accurately report/submit sales call activities, territory expenses and…",None,1,3/13/21
CCNA - Technical Support Specialist PV,Dubai,Canon,None,Carry out other duties as requested by Technical Manager. Design and deliver technical training all Photo Video products as designated by the Service Manager.,None,None,2/24/21
DYNAMIC NAV SUPPORT MANAGER,Dubai,Quality Point IT Consultancy,None,The Ideal Candidate will have- 5+ years of relevant experience in the NAV Technical profile. Located in Dubai-UAE and looking for the next driven Support…,None,None,2/16/21
Planning Manager,Dubai,Al-Futtaim,None,"Supporting, as directed, line manager in provision of programme planning and scheduling Management Services for a portfolio of works or single large project.",None,None,3/6/21
Regional Sales Manager - UAE,Dubai,Motorola Solutions,None,"Provide first level technical guidance to customers (end-users), integrators and partners. Frequent travel may be required during the execution of the duties of…",None,None,3/5/21
Sr. Sales Manager,Dubai,Halian,None,"Ability to quickly identify client’s technical needs and how that relates to business goals. As an international IT services company, we've worked hard for 20…",Senior,None,2/16/21
Manager - People and Change,Dubai,KPMG,None,"Project delivery as per commitments to client – technical quality of deliverables, meeting time commitments, managing client expectations.",None,None,2/16/21
Regional SHE Manager,Dubai,Element Materials Technology,None,"The Regional SHE Manager will oversee: Education or higher degree, preferably in a relevant technical discipline or similar. Save them time and money;",None,None,2/16/21
Export Project Specialist,Dubai,Nestle,None,"Provide Operations timelines to the project manager in the receiving market (RSA ,Supply Chain, Manufacturing & Technical, Finance). A day in the life of...",None,None,3/12/21
Supply Manager,Dubai,HILTI,None,"Furthermore, you will be required to align technical specification and COGS target with the capabilities of suppliers while maintaining prices in the system…",None,None,2/23/21
Territory Manager,Dubai,Amazon Web Services MENA FZ,None,"A technical background in engineering, computer science or MIS is advantageous. Work with partner, marketing, business development and technical teams to manage…",None,None,2/16/21
Office Manager,Dubai,HR Source Consulting,None,Work with the technical coordinator to maintain computer and office equipment. Exciting Office & Administrative Managerial opportunity in Dubai JLT to join a…,None,None,2/16/21
Product Specialist,Dubai,AABTools.,"4,000-4,500",Working with engineers and technical managers to understand project requirements and recommending the right product as per their application.,None,2,3/17/21
Engineering Manager,Dubai,Talabat,None,"2+ years of hands-on technical leadership and people management experience. As Engineering Manager, you will work on our next generation ordering platform to…",None,None,3/8/21
Senior Projects Detailer (F/M),Dubai,Electra Events & Exhibitions,None,"Liaise with Designers, Account managers, Engineers, and Project Managers to gather product and structural requirements and designs.",Senior,None,3/14/21
Sr. Draughtsman,Dubai,Bashco Trading,"4,500-6,500",Provide timely technical assistance and solutions to the team. Create drawings and models from written and verbal specifications obtained from Project Engineer …,Senior,None,2/28/21
IT Manager,Dubai,Louzan Fashion,None,Maintains professional and technical knowledge by attending educational workshops; Utilize in-depth technical knowledge and business requirements to design and…,None,None,2/16/21
Civil Operations Manager,Dubai,Sahil Green Line Human Resource Consultancy,"20,000","A successful Civil Construction Company in Dubai is looking for a Civil Operations Manager*. Project Management, Planning, Scheduling, Progress monitoring,…",None,10,3/18/21
Accounts Payable and Accounts Receivable Manager,Dubai,The Gulf Recruitment Group,None,"We believe that a recruitment consultant should be a partner in your search, providing a truly consultative approach with the technical knowledge and ability…",None,None,2/16/21
"Finance Manager - Systems,Process&Audit",Dubai,Al-Futtaim,None,"Finance Manager – System & Process Compliance. No two days are the same at Al-Futtaim, no matter what role you have. Implement SOPs across the functions.",None,None,3/4/21
Training Manager,Dubai,"Marriott International, Inc",None,Observes service behaviors of employees and provides feedback to individuals and/or managers. Partners with operational leaders to assess if employees…,None,None,3/7/21
GCC Biologics Medical Manager,Dubai,AstraZeneca,None,"Provide effective Medical/clinical trainings (basic science and disease knowledge, drug profile, clinical data) to internal colleagues in line with expressed…",None,None,2/21/21
"Product Manager, Trauma",Dubai,Stryker Corporation,None,Develop technical expertise with respect to specified product area. Budgetary management for all marketing activities initiated (liaising with General Manager…,None,None,3/17/21
Program Manager Professional Services,Dubai,Fortinet,None,Bachelor’s Degree in technical or management discipline and/ or extensive project management. The role spans all customer-facing Fortinet functions and the…,None,None,3/10/21
Technical Support Engineer 3,Dubai,"Vocera Communications, Inc.",None,This position reports to the Manager of International Technical Support. 5+ years’ experience in customer technical support working in a hosted application…,None,None,2/27/21
Project Manager - Software Asset Management ( SAM) & ITSM,Dubai,EMT,None,Collaborate with technical and business users. Work with the Technical Leads on projects. Acts as the technical project management interface to the vendor…,None,None,2/21/21
Professional Services Project Manager,Dubai,Thycotic,None,"The Project Manager II will create and maintain technical project plans outlining tasks, milestones, and deadlines, and will manage resource capacity across a…",None,None,3/6/21
Account Manager - Mid-Enterpise,Dubai,Genome Technology Consultants,None,Ability to communicate with technical audience. Providing customers with pricing and work closely with the technical teams to devise technical solutions as per…,None,None,3/2/21
Project Manager (F/M),Dubai,Electra Events & Exhibitions,None,"Providing production crew, subcontractors and site managers with necessary documentation including but not limited to technical drawings, bill of quantities,…",None,None,2/16/21
DEPUTY ENGINEERING MANAGER,Dubai,Sonangol,None,Provides technical support to field engineering. Conduct technical coordination meetings with relevant parties.,None,None,3/2/21
"Program Manager, Customer Experience",Dubai,Q Tech General Trading LLC,None,"We are looking for Customer Experience (CX) Program Manager (PM) to join Middle East (ME) Customer Service Team (CS). Superior judgment, diplomacy and tact.",None,None,2/16/21
Network Program Manager,Dubai,Q Tech General Trading LLC,None,Amazon's Customer Service (CS) is seeking an experienced Senior Program Manager to join the team. You must be an experienced Program Manager who has owned and…,None,None,3/13/21
Engineering Section Head,Dubai,Nomac,None,Deputise for Maintenance Manager as and when requested. Support the Maintenance Manager in the development and delivery of the station’s Engineering and…,None,None,3/10/21
Key Account Sales Manager,Dubai,Prodent Dental Laboratory,"6,000-8,000",4-Maintaining the technical expertise and product knowledge necessary to make sales. Prodent Aligners is a clear aligners company under Prodent Dental…,None,5,2/21/21
"Regional Marketing Manager, META (Middle East, Turkey and Af...",Dubai,GfK,None,"Have strong business acumen, stakeholder management and ability to drive conversations with senior managers and leaders. PR, Social Media and Website.",None,None,2/16/21
Branch Accounting Manager,Dubai,Al-Futtaim,None,"Strong core finance technical skills, processes and systems. Branch Accounts Manager | FAMCO | Al Futtaim Automotive | Dubai.",None,None,3/8/21
