Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Store InCharge - Watches,Dubai,Al-Futtaim,None,Suitable manpower planning done by department managers; Minimum two years Assistant Store Manager experience. The chance to push the limits every single day.,None,None,2021-03-18
"Real Estate, Construction and Engineering Manager - MENA",Dubai,Q Tech General Trading LLC,None,Experience as a facilities manager or similar. Experience as an engineer and senior construction manager. It requires a person who can show proven ability in…,None,None,2021-03-13
Strategy and Planning Manager,Dubai,Al-Futtaim,None,We are currently looking for Strategy and Planning Manager to join our Group Transformation team who will be responsible in the following areas:,None,None,2021-03-18
Project Manager- Healthcare IT,Dubai,InterSystems,None,The Project Manager will undertake the following: Agreed handover to InterSystems Service Manager or geographical equivalent.,None,None,2021-02-16
Infrastructure Ops Manager,Dubai,Majid Al Futtaim,None,"IT Management, Projects, and Business Departments on the IT Infrastructure requirements of installed and planned IT equipment, covering network, security, IP…",None,None,2021-03-12
IT Manager,Dubai,WHR Solution,None,"As an IT Manager, you will be responsible to provide first level support for both users and guests for various IT and Business applications.",None,None,2021-02-16
"Manager, Leasing",Dubai,Majid Al Futtaim,None,Agree with Senior Manager Leasing on objectives. Agree with Senior Manager Leasing and the relevant Development Manager appropriate marketing plans which will…,None,None,2021-03-17
Assistant Human Resources Manager,Dubai,The Arts Club Dubai,None,"Instructing managers to train, guide and develop colleagues,. Resources Manager is responsible for managing, supervising and guiding the implementation.",None,None,2021-03-05
Sell-Out Manager - Middle East,Dubai,Stanley Black & Decker,None,It is necessary/must to have Sales/ Commercial/ Operations (one applies) Management experience – minimum of 3 years. Execute Segmented Execution strategy plan.,None,None,2021-03-12
Facebook Reality Labs International Trade Manager,Dubai,Facebook,None,"This includes Infrastructure, Facilities, Engineering, R&D teams, Consumer products, IT Logistics. This Facebook Reality Labs Trade Manager is part of Facebook…",None,None,2021-03-16
Project Coordinator/Manager,Dubai,TAKELEAP DMCC,"6,000","Defines the responsibilities of departments involved in the project including customers, management, IT management, project team, vendors and others affected by…",None,None,2021-02-16
Business Development Manager,Dubai,Metadata Technologies,"8,000-15,000",4 -10 years of IT Solution Selling exp. Mandatory IT solution selling experience in UAE (Preferable in CRM / ERP). To join its dynamic team.,None,4,2021-03-09
"UAE National- IT Executive | IKEA Service Office | Dubai, UA...",Dubai,IKEA,None,In coordination with Regional IT Project Manager. IT Tools (Multi-Channel) & Business Processes. Responsible for the new store project management – IT…,None,None,2021-03-02
Front Office Duty Manager,Dubai,SOFITEL,None,"Calls the nurse, Front Office Manager, General Manager and Security Manager in case of guest accident. What is in it for you: What you will be doing:",None,None,2021-03-07
Data Manager,Dubai,GEMS Education,None,Masters/Bachelors in IT/ Data Management. Any other IT certifications/qualifications would be preferred. Support the Timetable Manager in linking the Timetable…,None,None,2021-03-03
Operations Manager,Dubai,Nathan & Nathan,None,Coordinating with Finance Manager on the financial matters relating to the stores. Approving the store level LPO’s for day to day procurements in coordination…,None,None,2021-02-16
Manager - Technology & Platform Services,Dubai,Majid Al Futtaim,None,"The Role will be responsible for planning, executing, and managing a portfolio of IT Applications and new IT initiatives, as well as maintaining and optimizing…",None,None,2021-03-12
Senior Fleet Manager,Dubai,GardaWorld,None,Senior Fleet Manager / permanent employee position. Strong IT skills (ideally including using/implementing Fleet Management systems).,Senior,None,2021-03-15
Recruiting Partner,Dubai,Cerner Corporation,None,Hiring Managers / Organisational Leaders) to understand their needs and provide effective resourcing strategies and solutions. 3 years of Recruiting experience.,None,None,2021-03-16
Information Security - Assistant Manager,Dubai,Deloitte,None,"As an Information Security - Assistant Manager , you will demonstrate and develop your capabilities in the following areas: Looking for a rewarding career?",None,None,2021-02-23
"Key Account Manager, Hygiene",Dubai,RB,None,"If you ever spot an opportunity make things better, you’ll take it. You’ll manage negotiations, develop promotional strategies, and build relationships with…",None,None,2021-03-15
Field Support Engineer,Dubai,Intertec Systems,None,Administration and maintenance of the assigned BU’s IT Infrastructure. To support daily technical support activities for IT equipment and application management…,None,None,2021-03-11
Business Development Manager,Dubai,Ayur Mandala Ayurveda Center,"4,000-5,000",Strong communication skills and IT fluency. Contacting potential clients to establish rapport and arrange meetings. Developing quotes and proposals for clients.,None,1,2021-03-16
GENERAL MANAGER,Dubai,Grow Digital Services,None,Are you a manager that is far from general? Set Targets for managers and measure their performance regularly. This position is far from general.,None,None,2021-03-01
Asst. IT Manager Hospitality,Dubai,Career Raiser,None,Fulfilling all IT requirements for Banqueting. Implement Preventive Maintenance for all IT hardware & Software. A) Systems administration and operation.,None,None,2021-02-16
IT Project Manager,Dubai,RTC-1 Employment Services,None,IT Project Manager Employment Type: Coordinate all IT infrastructure related activities within all business units (ERP) • Be the in-house POC for installation…,None,None,2021-02-16
General Manager,Dubai,Nathan & Nathan,None,Executive Secretary of the General Manager (direct responsibility). Executive Director (the immediate responsible before the General Manager).,None,None,2021-02-16
"Team Leader, IT Quality Assurance",Dubai,Commercial Bank of Dubai,None,"Escalate the issues about project requirements (Software, Hardware, Resources) to Project Manager / Sr. Regression & Functional testing with Test Plan & Test…",None,None,2021-02-16
Distribution Account Manager MEA,Dubai,CommScope,None,CommScope’s RUCKUS networks simplify life for IT while enabling them to deliver exceptional user experiences. Are you an experienced Account Manager with a deep…,None,None,2021-03-17
Assistant Reservations Manager,Dubai,GRAND MERCURE,None,"What is in it for you: As Assistant Reservations Manager, you are responsible for achieving occupancy targets/levels as identified in the annual budget and…",None,None,2021-03-07
Assistant Manager Applications,Dubai,Maxit Advertising LLC,None,"Company: Maxit Advertising LLCEmployment Type: Full TimeJob Type: Hospitality, Hotel,…",None,None,2021-02-16
Content Writer,Dubai,"Global Pulse Confederation (Dubai, UAE)","1,100",Ability to work with content editors and managers in submitting revisions or changes in a timely manner. About *the Global Pulse Confederation (GPC).,None,(),2021-03-17
PLANT AND FLOWER SELLER / NURSERY MANAGER,Dubai,ACTIKNOW,None,It autonomously organizes and develops the daily management and accommodation activities of its competent department;,None,None,2021-03-13
PR&I Account Manager,Dubai,"The Ogilvy Group, LLC",None,"It is part of the formidable worldwide Ogilvy network and wider WPP network. Account Managers are efficient operators, who demonstrate strong commercial…",None,None,2021-03-16
Assistant Manager,Dubai,Lifestyle Concept,None,"Responsible for rollout of all Business Excellence Projects and work along with IT. Working directly with Head of Retail, Territory retail managers and Concept…",None,None,2021-02-19
"Associate Manager, Leasing",Dubai,Majid Al Futtaim,None,Assist the Senior Manager Leasing in establishing Leasing Objectives. Work with the Senior Manager Leasing in liaising with Property Operations and putting a…,None,None,2021-02-24
Manager - CX Solutions,Dubai,Majid Al Futtaim,None,Extensive experience and ability to lead large-scale complex IT projects involving cross function Business and Technology teams.,None,None,2021-03-11
Receptionist / Lounge Staff,Dubai,Big Fish Recruitment,None,"We are currently seeking Receptionist / Lounge Staff to work at the event, reporting to Pavilion Operations Manager, to manage the main reception desk and the…",None,None,2021-03-17
Manager - Integration Services,Dubai,Majid Al Futtaim,None,Keep IT leaders and management current with developing technologies. Reduced IT Complexity – Speed to market the integrations Services to promote the agile…,None,None,2021-03-12
"Manager, Vendor Management (Softlines)",Dubai,Amazon Middle East and NA FZ,None,"A willingness to roll up sleeves to get it done. High threshold for working in an ambiguous, fast paced environment start-up like environment – figuring it out…",None,None,2021-03-09
Maketing & Operations Manager,Dubai,SIGNATURE TECHNOLOGY DMCC,None,"Excellent IT skills, especially with project/tasks management and communication software tools. Analytics software (Google Analytics, Google Tag Manager,…",None,4,2021-02-22
Bar Manager - Off The Wall @ Hotel Indigo Dubai Downtown,Dubai,Hotel Indigo,None,"Because It takes more than juggling a bottle and slinging some drinks or managing a team to qualify as a Bar Manager, our ace candidate should have a minimum of…",None,None,2021-03-16
Advertising Client Servicing Manager,Dubai,MOTAD (An Ambition Group Company),"4,000-6,000",MOTAD is looking for hiring ACCOUNT MANAGER - CLIENT SERVICING. Great presentation skills to bring life to the work done by the creative team and present it to…,None,3,2021-02-22
Category Manager - Regional,Dubai,Talabat,None,"Our mothership Delivery hero is the leading online food delivery player in MENA, with well-established local brands such as Talabat, Hunger station, and Zomato…",None,None,2021-03-09
HR Manager,Dubai,First Response Healthcare LLC,None,"We are currently hiring for an HR Manager. If you are someone who is looking to give your career the right boost, we have all it needs.",None,None,2021-02-16
Office Manager,Dubai,ST GROUP,"3,000-3,500",You have shared that currently you have two strong Associates who are committed to the company and are excited by the work and the compensation it provides.,None,1,2021-02-16
Senior Performance Specialist,Media City,JES Media,"14,000-16,000","Extensive experience with Google Tag Manager to configure and manage website tags, including pixel implementation. Javascript and Regex knowledge is a plus.",Senior,3,2021-03-07
Test Centre Deputy Administrator,Dubai,University of Wollongong in Dubai,None,"Bachelor’s Degree in Office Management or IT or Business Administration. On IELTS and OET test days, the Test Centre Deputy Administrator assumes the test day…",None,None,2021-03-15
Web Agency Project Manager,Dubai,Atechy Group,"4,000-8,000",Web Agency Project Manager Responsibilities: Our company is urgently looking for a Web Agency Project Manager. Working Visa supplied with Annual ticket home.,None,None,2021-03-08
Administrative Officer,Dubai,Zayed University,None,"Supporting with adhoc Career projects, as directed by line manager. Under the guidance and direction of Manager, Alumni & Student Careers Office, the…",None,None,2021-02-16
Accountant - AR & AP,Dubai,Abdullah A. AlMoosa Enterprises - Arenco Group,None,The incumbent functionally and administratively reports to the Finance and Admin Manager of the Arenco Real Estate-Long Term.,None,None,2021-03-10
Project Manager - Software Asset Management ( SAM) & ITSM,Dubai,EMT,None,"Strong understanding of enterprise softwares solutions, Integration with other IT and Networking solutions. Executing SAM Projects, roll out of running system…",None,None,2021-02-21
Stock Keeper,Dubai,Azadea,None,"Participate in the inventory of products and report the end-of-day inventory status to Shop Manager. Receive merchandize, count it physically and electronically…",None,None,2021-02-27
Assistant Food & Beverage Manager,Dubai,Centara Hotels & Resorts,None,Perform all duties as requested by the Food & Beverage Manager. Plan and organize briefings and meetings in the absence of Food & Beverage Manager.,None,None,2021-02-22
Adjustor,Dubai,Otis,None,Adjusts and lubricates the Safety Action Mechanism and tests it according to the defined procedures. Identifies the training and development requirements for…,None,None,2021-03-02
Engineering Section Head,Dubai,Nomac,None,Deputise for Maintenance Manager as and when requested. Support the Maintenance Manager in the development and delivery of the station’s Engineering and…,None,None,2021-03-10
Operations Executive,Dubai,Al-Futtaim,None,Track and Record Showroom manager errors. Communicate feedbacks accurately to the Showroom managers for their subsequent action.,None,None,2021-03-14
Workshop Supervisor,Dubai,Dubai Autodrome,"10,000-10,300","Place orders for spare parts/procure it from market. Manage the workshop on a day-to-day basis, supervise and support the work of Mechanics, and discuss with…",None,None,2021-02-16
Store Manager,Dubai,Al Shamsi Holdings,None,"Knowledge/Skills - Proficiency in Microsoft Office and Basic IT skills. Communicates stock replenishment needs to Operations Manager, Distribution and Buying…",None,None,2021-02-16
Telephone Operator,Dubai,"Marriott International, Inc",None,"Test communications equipment to ensure it works properly. Report accidents, injuries, and unsafe work conditions to manager; Posting Date Mar 16, 2021.",None,None,2021-03-17
FM Estimation Manager,Dubai,Al-Futtaim,None,"Bid Manager (FM Estimation Manager). Advise the Project Manager on contractual rights, remedies which has been taken into consideration during tendering.",None,None,2021-03-05
IT Manager,Abu Dhabi,ParkerConnect,None,Prepares overall IT budget as part of annual budgeting cycle and obtains necessary approval for it. Develops IT strategy based on strategic objectives and…,None,None,2021-03-10
TECHNICIAN (IT/ELV Systems),Abu Dhabi,Golden Shield Security and Safety Systems,"3,000-4,000",Diploma or Certificate in Electrical / Electronic / Engineering / IT. Ability to understand complex systems and possess good IT skills.,None,,2021-03-16
Support Assistant / Bus Monitor,Abu Dhabi,Nord Anglia Education,None,"It is essential that you possess high levels of personal integrity, and are conscientious. Applicants should submit a CV, letter of application and the details…",None,None,2021-03-17
Admissions Manager,Abu Dhabi,Brighton College Abu Dhabi,None,"Brighton College Abu Dhabi wishes to recruit an Admissions Manager. Attend, where practical and cost-effective, regular meetings with Admissions Managers from.",None,None,2021-03-10
Communication Manager to NGO,Abu Dhabi,SmallWorld Foundation,None,They should be an organized and cool-tempered professional who is able to handle a vision and implement it through . We expeca an action plan.,None,None,2021-03-18
Customer Service Representative,Abu Dhabi,"Hill International, Inc",None,Coordinate with the IT team to ensure that there is technical support before the meeting and ensuring that the daily inspections from IT are done so that the…,None,None,2021-03-17
Product Manager,Abu Dhabi,Anghami,None,"It is as social as it is personal. A product manager will go out of their way to solve a problem. Someone who believes projects are a living thing, by delivery…",None,None,2021-03-18
IT Manager,Abu Dhabi,Al Fanar General Contracting LLC,None,Monitor system security of all IT. Cost control and management of IT scope. Perform all other IT related duties as required during working hours.,None,None,2021-02-25
General Manager - Abu Dhabi,Abu Dhabi,National Oilwell Varco,None,"An effective General Manager can identify problems, think strategically/tactically/technically, solve problems and implement solutions. At 120 days and beyond:",None,None,2021-02-28
Applications Manager,Abu Dhabi,twofour54,None,At least 5 years’ experience in IT projects. Support in budget planning and overall IT KPIs and Objectives. Develops in coordination with IT team a strategy and…,None,None,2021-02-16
Executive Assistant,Abu Dhabi,Al-Futtaim,None,Handling correspondence directed to managers Making travel arrangements and detailed travel itineraries . Take our engaging and supportive work environment and…,None,None,2021-03-16
Housekeeping Manager,Abu Dhabi,Al Bahiya Trading & Services,None,Maintain good relationship with managers of other units in the organization. Inspect the environment within the organization to ensure it meets the minimum best…,None,3,2021-03-14
Payroll Manager,Abu Dhabi,Mayur Batra Group (MB Group),None,"We adopt a professional approach and it is important that our clients enjoy working with us. Willingness to have close, daily collaboration with staff in…",None,None,2021-02-16
Operations Manager,Abu Dhabi,Alpin Limited,None,"The local team is composed of a diverse range of experts who lead their respective fields, including LEED APs, PQPs, trainers, commissioning authorities (CxA),…",None,None,2021-02-16
Assistant Restaurant Manager at InterContinental Abu Dhabi -...,Abu Dhabi,InterContinental Hotels,None,"We look for people who are charming, confident, and internationally-minded who know what it takes to exceed guest expectations. That’s where you come in.",None,None,2021-03-16
