Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
#NAME?,Dubai,INKAS Vehicles,None,"Install new hardware and software. It Engineer is responsible for designing organizing, modiying and supporting company’s computer systems.",None,None,2/16/21
Solution Engineer,Dubai,3M,None,Day-to-day work follows an agile scrum team approach to developing leading edge cloud-based software. 3M Health Information Systems (HIS) is the world leader…,None,None,3/16/21
Senior Software Engineer,Dubai,Winsoft Solutions,None,Develop innovative software designs and architectures. Winsoft is seeking an experienced. Strong background in PHP and Web application development.,Senior,None,2/16/21
Senior Software Engineer (Automation QA),Dubai,Careem,None,Senior Software Engineer (Automation QA). Lead a team of quality assurance engineers in handling both manual testing and automation level testing.,Senior,None,2/25/21
Principal Software Engineer - IOS,Dubai,Talabat,None,"Participates in defining hiring standards for other engineers. Coach junior engineers through code reviews, pair programming, and tech talk sessions.",None,None,3/9/21
IT Support Engineer,Dubai,CUPLE ST L.L.C.,"3,000-4,000","Hardware and software troubleshooting, diagnostics, repairs and maintenance. Resolve Staff or customer technical concerns and queries promptly and accurately…",None,None,3/6/21
Regional Sales Director - MEA,Dubai,Cisco Systems,None,"You will also have a matrix team of Product Specialists, Sales Engineers, Solution Architects, Service Delivery Executives, Legal and Finance.",None,None,3/18/21
Senior Projects Detailer (F/M),Dubai,Electra Events & Exhibitions,None,Create detailed designs with computer-aided design (CAD) software or Revit. Describe production methods (including equipment and software types to be used).,Senior,None,3/15/21
IT Engineer,Dubai,ARO REAL ESTATE,"3,000-4,000","Servers, PCs, operating systems, networks, hardware and software,. Monitoring, maintenance, development, upgrade and support of all IT systems, including.",None,,2/26/21
MEP DOCUMENT CONTROLLER WITH 3-5 YEARS UAE EXPERIENCE,Dubai,AL QRANFAL TECHNICAL SERVICES LLC,None,"Updating manpower position and work allocation reports daily as received from Site Engineers. Our MEP Projects division provides solutions from design,…",None,3,3/13/21
District Cooling Plant (DCP) Engineer,Dubai,Al-Futtaim,None,"Good knowledge of maintenance related computer software, CAFM, SCADA, Energy Optimization and other job-related software. District Cooling Plant (DCP) Engineer.",None,None,2/16/21
IT administrator – Software Engineer,Dubai,Concord Stars Contracting LLC,None,"Software database migration, Antivirus administration. Installation and testing of application software. Manage ITsystems and operations and projects.",None,None,3/6/21
Mechanical Engineer,Dubai,JAMS HR Solutions,None,"Creating and reviewing technical drawings, plans, and specifications using professionals software like AUTOCAD.",None,None,3/7/21
Solutions Engineer,Dubai,GRANTEQ,None,"To manage the Internal IT Infrastructure of Granteq (Troubleshooting, software installation, app. Installation, firewalls etc) and render After-Sales Support…",None,None,2/16/21
Backend Developer,Dubai,Stella Stays,"5,000-15,000",We are looking for a Software Developer- technically strong in Node.js for its growing engineering team.*. Please apply if you love startups and working in the…,None,None,2/16/21
Technical Support Engineer,Dubai,Winsoft Solutions,None,Develop innovative software designs and architectures. Winsoft is seeking an experienced. Strong background in PHP and Web application development.,None,None,2/16/21
On-Site Engineer,Dubai,Parsons,None,Assisting Engineers in making specific plans for special events (e.g. Have experience in using Microsoft Windows-based software applications and word processors…,None,None,2/22/21
AutoCAD Draughtsman / Detailer,Dubai,AMBER BUILDING CONTRACTING LLC,"4,500","Able to create drawings and models using the AUTOCAD SOFTWARE, from written and verbal specifications obtained from Project Engineer / Manager.",None,4,3/3/21
Electrical /Software Engineer,Dubai,Alkozay Group,None,"Collaborate with engineers and technicians to design and apply new system processes. Evaluates electrical systems, products, components, and applications by…",None,None,2/16/21
Linux Admin - L1 Support Engineer,Dubai,Zen Interactive Technologies,"6,000-8,000","Systems Administration/System Engineer certification in Linux+, Eg: Monitor Maintain and administer applications systems and related computing environments…",None,2,2/21/21
IT Field Support Engineer,Dubai,Convivo Technologies,"3,000-3,500","IT Field Engineer (Desktop Support) - with hands-on experience in installation, troubleshooting of PC/laptop hardware, software and basic knowledge on…",None,None,3/9/21
Senior Erlang/Elixir Software Engineer,Dubai,F-Technologies,None,"We are building the next generation Chat and communication platform. Platform that is fast, reliable and affordable to all. Work on Projects as assigned.",Senior,None,3/18/21
Senior Estimator,Dubai,HortonTech,"10,000-12,000","Utilizes appropriate software programs to calculate, record and track estimates. Attends meetings with clients, architects, engineers, building owners as needed…",Senior,5,3/3/21
Test Engineer,Dubai,Whyflex Human Capital Solutions,None,"Experience in software development and testing. Test Engineer -API automation tool (Postman): Master's degree in Computer Science, Software Engineering or…",None,5,2/17/21
Software Engineering Manager- Careem Express,Dubai,Careem,None,"Lead a team of software engineers in implementing high-quality services including design, development, and deployment of new business functionality.",None,None,2/18/21
Field Environmental Engineer (Site Survey Supervisor),Dubai,MAB Environmental Consultancy,None,"Demonstrate proficiency in MS Office software applications, especially Word and Excel, as well as internet usage. At least 5 years of working experience.",None,None,2/16/21
Senior Embedded Linux Software Engineer (Drivers design & im...,Dubai,Group Three IT Consultants,None,Group Three is looking for an experienced embedded software engineer to join our team. Proficiency in embedded software development using C or C++ and assembly.,Senior,None,2/16/21
Land Surveyor,Dubai,Al Shafar Interiors Co LLC,None,Ø Present survey data to technical Engineer and advising about surveying work where the construction plans are viable.,None,4,3/11/21
Associate Sales Representative - Bachelor/Master (Graduate)...,Dubai,Cisco Systems,None,"Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. You’ll partner with Sales Engineers and together you’ll…",None,None,2/16/21
Sr. Principal Software Engineer,Dubai,Talabat,None,"10+ years of experience in software engineering. Inspire other talented engineers in an agile development environment to innovate, implement, and deploy complex…",Senior,None,3/9/21
Civil Engineer Drainage and Hydraulics & Hydrology,Dubai,SYSTRA,None,"Civil Engineer, Hydraulics, Hydro, GIS, Engineer, Engineering, Technology. Operating drainage design software (example SWMM or similar software) and preparation…",None,None,2/16/21
Mechanical Engineer (Plumbing & Fire Protection),Dubai,Stantec,None,Mechanical Engineer (Plumbing & Fire Protection). Be completed under the supervision of the Plumbing Project Engineer. They give our work purpose.,None,None,2/16/21
Electrical Engineer,Dubai,Jalal Khoory Technical Services,"2,500-3,000","Collaborating with engineers and technicians to design and apply new system processes. Proficiency in using design and calculation software, such as Autocad,…",None,None,3/7/21
Data Platform Engineer,Dubai,Chalhoub Group,None,"As a Data Platform Engineer, you will play a critical role in ensuring that we build a data platform that are not only capable of transforming the company but…",None,None,3/11/21
Software Project Manager - Airports,Dubai,Honeywell,None,"We lead with software and innovation. Bachelor’s degree in Computer Science or Software Engineering. Configure software, perform ‘bench testing’ if required and…",None,None,2/16/21
Mechatronics Engineer,Dubai,Fractal 3D Systems,None,Responsibilities for the Mechanical Engineer. Requirements for the Mechanical Engineer. Mechatronic engineer with strong experiences in the technical department…,None,None,2/16/21
Earthwork Engineer,Dubai,SYSTRA,None,"Geology, Engineer, Drafting, Quality Assurance, QA, Engineering, Technology, Quality. Good level of knowledge of geotechnical design software and tools.",None,None,2/16/21
Instrumentation Engineers,Dubai,JAMS HR Solutions,None,"Work closely with design engineers, operation engineers, purchasers and other staff. Writing computer software and test procedures.",None,None,3/7/21
Automation Engineer,Dubai,JAMS HR Solutions,None,"Identify opportunities for automation within software processes. The main motive of an automation engineer is to eliminate problems, errors and issues with…",None,None,3/7/21
DESIGN ENGINEER,Dubai,hrsfunke,None,"Training will be given using in-house software for thermal design of heat exchangers. Liaising with customers to establish process requirements, thermal sizing…",None,None,2/16/21
API Automation Test Engineer,Dubai,TPConnects Technologies LLC,"4,000-7,000",We're currently seeking API Automation Test Engineer. Experience in Continuous Product deployment testing and tools related to Software Product testing…,None,5,2/25/21
Landscape Engineer,Dubai,Sobha LLC,None,"Liaising with QA/QC Engineer, surveyors and draughtsman for preparation of AS-Built drawings and following up with Main Contractor/ Engineer for approval of the…",None,None,2/16/21
Structural Engineer - Short Term Contract,Dubai,KEO International Consultants,None,Develop models in REVIT software including coordination with other disciplines. Our newest opportunitty is for a talented Structural Engineer to join our award…,None,None,2/16/21
Calculation Engineer,Dubai,OilExec,None,Engineering Master’s degree (Civil/Structural/Naval engineer) or other related; Design of Steel Connections (welded/bolted) using software and/or hand…,None,None,2/16/21
Software Product Manager/Project Manager,Dubai,Itcan,None,Team up with design engineers and visit customers to propose product solution. Product management is the process of managing the software that is built and…,None,None,2/16/21
Pre-Sales Engineer ( elv),Dubai,HIGH SPEED COMPUTER TRADING LLC,None,"Train our partners in different countries related to Business Development, Marketing & Sales activities Proficient in using computer software applicable in the…",None,None,3/3/21
Project Manager,Dubai,Recruits Management Consultancy,"15,000-20,000","The MEP team on site consists of the Lead Mechanical (MEP) Engineer, Electrical Engineer, and MEP Inspectors. Day-to-day, you’d draw up schedules, allocate time…",None,None,3/4/21
Linux Integration Engineer,Dubai,INTERSEC Group,None,"As a leading Fast Data company, we develop innovative softwares that allows telecom operators to leverage data acquired through their networks, so as to enrich…",None,None,3/3/21
Senior Cost Engineer,Dubai,Wood Plc,None,Develop and maintain project cost plans using appropriate software applications. Wood is currently looking for Senior Cost Engineer to strengthen our team in…,Senior,None,3/9/21
Planning Engineer - Civil,Dubai,Sahil Green Line Human Resource Consultancy,"7,000",Using specialized design software packages. Experience with 3D modeling software. Minimum 10 Years of Experience and Planning Engineer.,None,9,3/18/21
Facilities Sales Engineer / Executive,Dubai,Integrated Technical Services,None,"Facilities Sales Engineer / Business Development Executive. Proficient in the use of Microsoft Word, Excel, PowerPoint, and Outlook, and in the use of AutoCAD…",None,None,2/16/21
Cyber Security Engineer/ Ethical Hacker,Dubai,ABBC Payment Services,None,"Report possible threats or software issues. Assist fellow employees with cybersecurity, software, hardware or IT needs.",None,None,2/16/21
Sr. Selection Business Intelligence Engineer,Dubai,Amazon Middle East and NA FZ,None,"Proficiency with statistical/data modeling software packages (e.g. Bachelor's degree in Computer Science, Engineering, Statistics, Finance or related…",Senior,None,2/16/21
Terrestrial Ecologist (Biodiversity),Dubai,MAB Environmental Consultancy,None,"Analyse and interpret data, using specialist software programs. Liaise with, and advise, site managers, engineers, planners and others associated with a survey.",None,None,2/16/21
Estimator,Dubai,Sobha LLC,None,B.E/B.Tech - Civil Engineer • a • Minimum of 3 to 5 years’ experience • Good interpersonal skills • Worked in Auto CAD software and Candy Software • Salary as…,None,None,2/16/21
VAS Engineer,Dubai,Sandvine,None,"As a VAS Engineer, VOIP/ Signatures you will be performing daily protocols development activities based activities for Sandvine’s key accounts.",None,None,3/2/21
Sr Software Engineer (Dot NET/Out-systems),Dubai,emaratech,None,We are currently looking for Sr Full Stack developers (Dot NET & OutSystems) who has strong knowledge in the following technologies:,None,None,2/16/21
IT Infrastructure Engineer (Construction),Dubai,Ancient Builders Constructions Co. LLC,"7,000-8,000","Must know how to use database systems management software, enterprise resource planning software, and web platform development software.",None,None,2/25/21
SENIOR ELECTRICAL ENGINEER WITH 10 YEARS UAE EXPERIENCE,Dubai,AL QRANFAL TECHNICAL SERVICES LLC,None,Senior Electrical Engineer Job Description. Practical experience with CAD software. We are searching for a dependable Senior Electrical Engineer to join our…,Senior,10,3/13/21
Software Engineer | Developers | mobile application,None,MVP Application and game design L.L.C,"2,200-4,500",Looking for talented experienced software developers software engineer web developer and mobile application developers. Social distancing guidelines in place.,None,None,3/9/21
Kotlin/Java Software Engineer,Abu Dhabi,BeamTrail,None,Passion for Software Development and Technology in general. 5+ years of experience in Kotlin and Java software development.,None,None,3/18/21
Front End Software Engineer,Abu Dhabi,Schlumberger,None,Schlumberger has an opening in United Arab Emirates for a Front End Software Engineer for our Digital Technology Division. Abu Dhabi - United Arab Emirates.,None,None,3/13/21
IT SUPPORT ENGINEER,Abu Dhabi,Al Ghazi,None,"Hiring an IT Support Engineer for Abu Dhabi. Install, modify, and repair computer hardware and software. Responsible for providing technical assistance and…",None,None,3/14/21
Angular Software Engineer,Abu Dhabi,IRESCO,"8,000","Post graduate in Computer Science or related field (or equivalent industry experience). Minimum 5 years of coding experience in Angular JS, HTML and JSS in…",None,None,3/15/21
Moody’s Software Engineer,Abu Dhabi,IRESCO,"10,000","Proven track record in financial software implementations gained with either, banks, software house, consulting firms or integrators.",None,None,2/16/21
Production Engineer,Abu Dhabi,Future Pipe Industries,None,Computer Literacy – Integrated Manufacturing Software (BAAN). Manage the production and manufacturing of pipes and fittings in a safe and efficient manner so…,None,None,2/23/21
Process Safety Engineer,Abu Dhabi,Enerflex,None,"Perform various functions, work collectively and collaboratively with other project engineers to provide loss prevention and risk management support for major…",None,None,3/15/21
Intern - Structures,Abu Dhabi,AECOM,None,"+ Knowledge of any of structural design analysis software package. Whether you are an engineer, planner, scientist or surveyor, we are looking for people who…",None,None,3/14/21
Siebel Software Engineer,Abu Dhabi,IRESCO,"2,391-10,433",Post graduate in Computer Science or related field (or equivalent industry experience). Good experience in Agile methodology (Scrum Framework).,None,None,3/8/21
ELECTRICAL ENGINEER,Abu Dhabi,Al Ghazi,None,"Hiring an Electrical Engineer for Abu Dhabi. Four to six years experience as Electrical Engineer. Conferring with customers, engineers, and others to discuss…",None,None,3/11/21
Software Test Engineer/Test Engineer/Testing - ABU DHABI,Abu Dhabi,Techcarrot,None,Minimum 4 years of experience with functional test execution and manual testing tools. Minimum 4 years of experience of designing test cases.,None,None,3/5/21
Sales Engineer,Abu Dhabi,Bin Moosa & Daly Ltd. LLC.,"7,000-10,000",Update and maintain records of customer communication and sales activities in CRM software and generate reports whenever required.,None,None,2/28/21
iOS Software Engineer,Abu Dhabi,IRESCO,"8,000",Post graduate in Computer Science or related field (or equivalent industry experience). Minimum 5 years of coding experience in Swift in creating Enterprise…,None,None,3/15/21
Infrastructure Support Engineer,Abu Dhabi,Beacon Red,None,Updating any software and hardware where necessary. Installing and maintaining operating environments. Responding effectively and speedily to any problems.,None,None,3/18/21
Project Engineer ( Siemens System),Abu Dhabi,TRANS ISLAND ELECTROMECHANICAL LLC,"8,000-10,000","Working collaboratively with design engineers, operation engineers, purchasers and other internal staff. Writing computer software and test procedures.",None,None,2/16/21
Platform Backend Engineer,Abu Dhabi,Anghami,None,Think critically about the next shaping our software. We have backend engineers making some of the most significant decisions for the company.,None,None,3/18/21
Advanced Software Engineer,Abu Dhabi,WORLD ENERGY GROUP,None,Understanding various software development lifecycle. Knowledge of software configuration management and change management practices.,None,None,2/16/21
Node JS Software Engineer,Abu Dhabi,IRESCO,"8,000","Post graduate in Computer Science or related field (or equivalent industry experience). Minimum 5 years of coding experience in NodeJS, JavaScript and Databases…",None,None,3/3/21
I&C Maintenance Engineer,Abu Dhabi,MPH Global Services,None,"Installation of Engineered Safety Features Actuation System (ESFAS) Software. Abu Dhabi, United Arab Emirates (UAE). Feedwater Pump Control Panel Maintenance.",None,None,3/2/21
Senior Software Engineer,Abu Dhabi,Independent Health Information Technology Services,None,Assist Software Designer/Implementers with the creation of detailed software design specifications. Record software architecture in a software architecture…,Senior,None,2/16/21
PCB Engineer,Abu Dhabi,Mondialab Limited,None,"Support firmware engineers with optimal hardware designs. Ideally, you also have first knowledge of 3D design software. Experience in Digital and Analog design.",None,None,3/15/21
Process Engineer,Abu Dhabi,Rejlers Finland & Abu Dhabi (UAE),None,"The Process Engineer reports to the appointed manager. Working experience in the use of process software like HYSYS, Pipesim, Flarenet, etc.",None,None,3/4/21
"Sr./ Engineer, I-C (DCS)",Ruwais,Abu Dhabi Polymers Company Ltd. (Borouge),None,Assist other engineers in solving technical issues. Perform obsolescence planning for upkeep of the entire system including hardware & software.,Senior,None,3/17/21
Sales Engineer,Abu Dhabi,Tranetech Software Solutions,None,A sales engineer will combine technical knowledge with sales skills. Technical sales engineers are a key point of contact for clients and provide both pre and…,None,None,3/11/21
Design Discipline Pipeline Engineer,Abu Dhabi,Rejlers Finland & Abu Dhabi (UAE),None,The Design Discipline Pipeline Engineer reports to the appointed manager. Mandatory software skills in CAESAR II and able to do stress analysis for pipelines.,None,None,3/9/21
Process Draftsman,Abu Dhabi,Rejlers Finland & Abu Dhabi (UAE),None,"Note all discrepancies and resolve this information with the Process Engineer. Experience in advanced software such as AutoCAD, SPPID, Smart Sketch, Micro…",None,None,3/4/21
Mechanical Engineer,Abu Dhabi,siGED Emirates,None,Should have good knowledge of AutoCAD software. Graduate of Mechanical Engineering Degree with 3-5 years (minimum 2 years in Oil & Gas) of relevant experience.,None,None,2/16/21
Draftsman,Abu Dhabi,siGED Emirates,None,"Knowledge of AutoCAD software is mandatory. To prepare shop drawings, isometric drawings etc. for structural and piping works as per sketches and instructions…",None,None,2/16/21
Site Engineer,Abu Dhabi,Morals General Contracting LLC,None,"Excellent knowledge of design and visualizations software such as AutoCAD, and should have advanced MS Office skills. Resolving problems and budget preparation.",None,3,2/16/21
Senior Software Engineer,Abu Dhabi,Weatherford,None,SCADA Engineer with the following previous practices: Weatherford is the leading wellbore and production solutions company.,Senior,None,2/16/21
Facility Management Supervisor,Abu Dhabi,MA Shine General Maintenance and Real Estate Manag...,"2,000-3,000",Using a range of computer software for developing detailed designs. Working closely with the Design Engineers to fulfill customer/client requirements.,None,None,3/7/21
Manpower Coordinator,Mussafah,ARM Group of Companies,None,Finding personnel’s From Mobilization Software as required by JO. Update the Quarantine details in the Mobilization Software. COVID 19 Screening Requests Form.,None,2,3/8/21
